State,Capital city,Second city,Third city,Statehood,Capital since,Size rank
Alabama,Montgomery,Mobile,Tuscaloosa,1819,1846,2
Alaska,Juneau,Anchrorage,Sitka,1959,1906,3
Arizona,Phoenix,Scottdale,Tempe,1912,1889,1
Arkansas,Little Rock,Fayetville,Fort Smith,1836,1821,1
California,Sacramento,Los Angeles,San Francisco,1850,1854,6
Colorado,Denver,Pueblo,Aurora,1876,1867,1
Connecticut,Hartford,Bridgeport,New Haven,1788,1875,3
Delaware,Dover,Wilmington,Newark,1787,1777,2
Florida,Tallahassee,Miami,Tampa,1845,1824,7
Georgia,Atlanta,Savannah,Athens,1788,1868,1
Hawaii,Honolulu,Hilo,Kihei,1959,1845,1
Idaho,Boise,Nampa,Twin Falls ,1890,1865,1
Illinois,Springfield,Chicago,Joliet,1818,1837,6
Indiana,Indianapolis,,,1816,1825,1
Iowa,Des Moines,Cedar Rapids,Davenport,1846,1857,1
Kansas,Topeka,Wichita,Salina,1861,1856,4
Kentucky,Frankfort,Louisville,Lexington,1792,1792,14
Louisiana,Baton Rouge,New Orleans,Kenner,1812,1880,2
Maine,Augusta,Portland,Auburn,1820,1832,8
Maryland,Annapolis,Baltimore,Columbia,1788,1694,7
Massachusetts,Boston,Lowell,Cambridge,1788,1630,1
Michigan,Lansing,Detroit,Grand Rapids,1837,1847,5
Minnesota,Saint Paul,Duluth,Eagan,1858,1849,2
Mississippi,Jackson,Tupelo,Biloxi,1817,1821,1
Missouri,Jefferson City,Spiringfield,Columbia,1821,1826,15
Montana,Helena,Great Falls,Butte,1889,1875,6
Nebraska,Lincoln,Omaha,Fremont,1867,1867,2
Nevada,Carson City,Las Vegas,Reno,1864,1861,6
New Hampshire,Concord,Nashua,Dover,1788,1808,3
New Jersey,Trenton,Newark,Edison,1787,1784,10
New Mexico,Santa Fe,Albuquerque,Las Cruces,1912,1610,4
New York,Albany,Buffalo,Syracuse,1788,1797,6
North Carolina,Raleigh,Charlotte,Cary,1789,1792,2
North Dakota,Bismarck,Fargo,Minot,1889,1883,2
Ohio,Columbus,Cleveland,Cincinnati,1803,1816,1
Oklahoma,Oklahoma City,Tulsa,Norman,1907,1910,1
Oregon,Salem,Portland,Eugene,1859,1855,3
Pennsylvania,Harrisburg,Erie,Reading,1787,1812,9
Rhode Island,Providence,Warwick,Cranston,1790,1900,1
South Carolina,Columbia,Rock Hill,Greenville,1788,1786,2
South Dakota,Pierre,Aberdeen,Brookings,1889,1889,8
Tennessee,Nashville,Knoxville ,Chattanooga,1796,1826,1
Texas,Austin,Dallas,Houston,1845,1839,4
Utah,Salt Lake City,Provo,Ogden,1896,1858,1
Vermont,Montpelier,Burlington,Barre,1791,1805,6
Virginia,Richmond,Virginia Beach,Norfolk,1788,1780,4
Washington,Olympia,Seattle,Spokane,1889,1853,24
West Virginia,Charleston,Huntington,Morgantown,1863,1885,1
Wisconsin,Madison,Milwaulkee,Kenosha,1848,1838,2
Wyoming,Cheyenne,Casper,Laramie,1890,1869,1